GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss09g04820.1	GO:0009058(biosynthetic process)	-	GO:0008909(isochorismate synthase activity)
Ss08g10300.1	GO:0005975(carbohydrate metabolic process)	-	GO:0003824(catalytic activity),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss01g26330.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss01g26320.1	GO:0006629(lipid metabolic process)	GO:0016021(integral component of membrane)	GO:0016491(oxidoreductase activity)
Ss01g26350.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005215(transporter activity)
Ss01g26340.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss02g19580.1	GO:0015693(magnesium ion transport)	GO:0016021(integral component of membrane)	GO:0015095(magnesium ion transmembrane transporter activity)
Ss07g27660.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0030246(carbohydrate binding)
Ss01g26370.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss07g27620.1	GO:0006886(intracellular protein transport)	-	GO:0005515(protein binding),GO:0008536(Ran GTPase binding)
Ss07g27640.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004563(beta-N-acetylhexosaminidase activity),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss07g27650.1	GO:0006468(protein phosphorylation)	-	GO:0030246(carbohydrate binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss02g16600.1	GO:0009733(response to auxin)	-	-
Ss07g34040.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity)
Ss03g13270.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss09g02190.1	GO:0017004(cytochrome complex assembly)	-	GO:0020037(heme binding)
Ss05g04860.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss05g04810.1	-	-	GO:0043531(ADP binding)
Ss10g01280.1	GO:0008283(cell proliferation)	GO:0005576(extracellular region)	GO:0008083(growth factor activity)
Ss05g04820.1	-	-	GO:0043531(ADP binding)
Ss05g04880.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss05g04870.1	GO:0005975(carbohydrate metabolic process),GO:0001678(cellular glucose homeostasis)	-	GO:0005524(ATP binding),GO:0016773(phosphotransferase activity, alcohol group as acceptor),GO:0004396(hexokinase activity),GO:0005536(glucose binding)
Ss02g21990.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss02g21750.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss07g33980.1	GO:0071805(potassium ion transmembrane transport)	GO:0016020(membrane)	GO:0015079(potassium ion transmembrane transporter activity)
Ss10g05240.1	GO:0006886(intracellular protein transport)	-	-
Ss07g26270.1	GO:0048544(recognition of pollen),GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0004674(protein serine/threonine kinase activity)
Ss07g33970.1	GO:0007165(signal transduction),GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss08g00910.1	GO:0006760(folic acid-containing compound metabolic process)	-	GO:0004150(dihydroneopterin aldolase activity)
Ss01g43540.1	-	-	GO:0046983(protein dimerization activity)
Ss07g15420.1	GO:0007186(G-protein coupled receptor signaling pathway),GO:0007165(signal transduction)	-	GO:0003924(GTPase activity),GO:0019001(guanyl nucleotide binding),GO:0031683(G-protein beta/gamma-subunit complex binding)
Ss07g15440.1	-	-	GO:0003677(DNA binding)
Ss07g15470.1	-	-	GO:0003677(DNA binding)
Ss07g15460.1	-	-	GO:0003677(DNA binding)
Ss07g15490.1	-	-	GO:0003824(catalytic activity)
Ss07g15480.1	-	-	GO:0003677(DNA binding)
Ss02g21980.1	GO:0006400(tRNA modification)	-	GO:0016763(transferase activity, transferring pentosyl groups)
Ss07g34010.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds),GO:0003824(catalytic activity)
Ss01g35970.1	-	-	GO:0004462(lactoylglutathione lyase activity),GO:0046872(metal ion binding)
Ss01g43530.1	-	-	GO:0046983(protein dimerization activity)
Ss06g17110.1	GO:0055085(transmembrane transport)	-	GO:0022857(transmembrane transporter activity)
Ss06g17040.1	-	-	GO:0043531(ADP binding)
Ss06g17100.1	-	-	GO:0003676(nucleic acid binding)
Ss06g17090.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss06g17070.1	GO:0030244(cellulose biosynthetic process)	GO:0016020(membrane)	GO:0016760(cellulose synthase (UDP-forming) activity)
Ss03g04900.1	-	-	GO:0003677(DNA binding)
Ss01g25990.1	-	-	GO:0003824(catalytic activity),GO:0043169(cation binding)
Ss03g04830.1	GO:0006396(RNA processing)	-	GO:0005515(protein binding)
Ss03g04860.1	GO:0000272(polysaccharide catabolic process)	-	GO:0016161(beta-amylase activity)
Ss03g04850.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss08g14080.1	GO:1901642(nucleoside transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005337(nucleoside transmembrane transporter activity)
Ss01g39570.1	GO:0045454(cell redox homeostasis)	-	GO:0009055(electron transfer activity),GO:0015035(protein disulfide oxidoreductase activity)
Ss01g39580.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss07g17220.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss04g26290.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss04g26280.1	GO:0042254(ribosome biogenesis),GO:0042256(mature ribosome assembly)	-	-
Ss02g16970.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003690(double-stranded DNA binding)
Ss04g26250.1	-	-	GO:0003924(GTPase activity),GO:0005525(GTP binding)
Ss04g26240.1	GO:0016567(protein ubiquitination)	-	GO:0004842(ubiquitin-protein transferase activity)
Ss01g39510.1	-	-	GO:0016758(transferase activity, transferring hexosyl groups)
Ss10g08160.1	GO:0006499(N-terminal protein myristoylation)	-	GO:0004379(glycylpeptide N-tetradecanoyltransferase activity)
Ss04g26220.1	-	GO:0016020(membrane)	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss04g26210.1	-	-	GO:0005515(protein binding)
Ss01g39550.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss01g13940.1	GO:0006629(lipid metabolic process)	-	GO:0008081(phosphoric diester hydrolase activity)
Ss11g13580.1	GO:0006096(glycolytic process)	-	GO:0003824(catalytic activity),GO:0000287(magnesium ion binding),GO:0004743(pyruvate kinase activity),GO:0030955(potassium ion binding)
Ss01g31700.1	-	-	GO:0003676(nucleic acid binding)
Ss01g31710.1	GO:0006012(galactose metabolic process),GO:0046835(carbohydrate phosphorylation)	GO:0005737(cytoplasm)	GO:0004335(galactokinase activity),GO:0005524(ATP binding),GO:0016301(kinase activity),GO:0016773(phosphotransferase activity, alcohol group as acceptor),GO:0005534(galactose binding)
Ss02g17040.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity),GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0031418(L-ascorbic acid binding)
Ss06g14610.1	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003723(RNA binding),GO:0003735(structural constituent of ribosome)
Ss01g44160.1	GO:0019509(L-methionine salvage from methylthioadenosine)	-	GO:0000287(magnesium ion binding),GO:0043874(acireductone synthase activity)
Ss06g14590.1	-	-	GO:0046982(protein heterodimerization activity)
Ss06g14580.1	GO:0006633(fatty acid biosynthetic process)	-	GO:0005524(ATP binding),GO:0016874(ligase activity),GO:0003989(acetyl-CoA carboxylase activity)
Ss01g31630.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss01g31640.1	-	-	GO:0005515(protein binding)
Ss06g14550.1	GO:0006457(protein folding)	-	GO:0005524(ATP binding),GO:0051082(unfolded protein binding)
Ss01g31690.1	-	-	GO:0003824(catalytic activity),GO:0046912(transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer)
Ss01g31670.1	-	-	GO:0005515(protein binding)
Ss01g38130.1	-	-	GO:0003677(DNA binding)
Ss01g43500.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss01g40930.1	GO:0006751(glutathione catabolic process)	-	GO:0036374(glutathione hydrolase activity)
Ss03g17900.1	-	-	GO:0003676(nucleic acid binding)
Ss03g17890.1	GO:0015979(photosynthesis)	GO:0009523(photosystem II),GO:0016020(membrane)	-
Ss07g17930.1	GO:0006814(sodium ion transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005215(transporter activity)
Ss01g40920.1	GO:0006412(translation)	GO:0005840(ribosome),GO:0005622(intracellular)	GO:0003735(structural constituent of ribosome)
Ss01g40850.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity),GO:0005515(protein binding)
Ss09g04860.1	-	-	GO:0008237(metallopeptidase activity),GO:0008270(zinc ion binding)
Ss01g40870.1	-	-	GO:0005515(protein binding)
Ss03g17820.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss08g00740.1	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003723(RNA binding),GO:0003735(structural constituent of ribosome)
Ss08g00730.1	-	-	GO:0005509(calcium ion binding)
Ss08g00750.1	-	-	GO:0003676(nucleic acid binding)
Ss08g00700.1	GO:0007018(microtubule-based movement)	-	GO:0003777(microtubule motor activity),GO:0005524(ATP binding),GO:0008017(microtubule binding)
Ss08g00690.1	GO:0016192(vesicle-mediated transport)	GO:0016021(integral component of membrane)	-
Ss08g00720.1	GO:0045454(cell redox homeostasis)	-	GO:0009055(electron transfer activity),GO:0015035(protein disulfide oxidoreductase activity),GO:0005515(protein binding)
Ss08g00710.1	GO:0009269(response to desiccation)	-	-
Ss07g30860.1	-	-	GO:0003676(nucleic acid binding)
Ss08g00780.1	GO:0000160(phosphorelay signal transduction system)	-	-
Ss03g39880.1	-	-	GO:0003676(nucleic acid binding)
Ss04g02310.1	-	-	GO:0046983(protein dimerization activity)
Ss04g02290.1	-	-	GO:0005515(protein binding)
Ss04g02300.1	-	-	GO:0005515(protein binding)
Ss04g08730.1	GO:0006310(DNA recombination),GO:0006260(DNA replication),GO:0006281(DNA repair),GO:0044237(cellular metabolic process)	GO:0005622(intracellular)	GO:0008026(ATP-dependent helicase activity),GO:0003676(nucleic acid binding),GO:0043140(ATP-dependent 3'-5' DNA helicase activity),GO:0005524(ATP binding),GO:0000166(nucleotide binding),GO:0003824(catalytic activity)
Ss04g02360.1	-	-	GO:0009055(electron transfer activity)
Ss07g25570.1	-	-	GO:0005515(protein binding)
Ss07g23040.1	-	GO:0005576(extracellular region)	-
Ss08g00030.1	GO:0006486(protein glycosylation)	GO:0016020(membrane)	GO:0030246(carbohydrate binding),GO:0008378(galactosyltransferase activity)
Ss04g08780.1	-	-	GO:0003677(DNA binding)
Ss04g02380.1	-	-	GO:0016810(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds),GO:0016787(hydrolase activity)
Ss08g00060.1	-	GO:0005737(cytoplasm)	GO:0005094(Rho GDP-dissociation inhibitor activity)
Ss08g00050.1	-	GO:0016021(integral component of membrane)	-
Ss03g39950.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0005524(ATP binding)
Ss09g11240.1	GO:0006812(cation transport),GO:0055085(transmembrane transport),GO:0006814(sodium ion transport),GO:0006885(regulation of pH)	GO:0016021(integral component of membrane)	GO:0015299(solute:proton antiporter activity),GO:0015385(sodium:proton antiporter activity)
Ss09g11230.1	GO:0006468(protein phosphorylation)	-	GO:0005509(calcium ion binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0030247(polysaccharide binding)
Ss11g05530.1	-	-	GO:0003723(RNA binding)
Ss11g05520.1	GO:0001522(pseudouridine synthesis),GO:0042254(ribosome biogenesis)	GO:0031429(box H/ACA snoRNP complex)	-
Ss11g05500.1	GO:0031047(gene silencing by RNA)	-	-
Ss11g05480.1	-	-	GO:0008270(zinc ion binding)
Ss03g39930.1	-	-	GO:0005515(protein binding)
Ss09g11260.1	GO:0015986(ATP synthesis coupled proton transport),GO:0015991(ATP hydrolysis coupled proton transport)	GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o)),GO:0033177(proton-transporting two-sector ATPase complex, proton-transporting domain)	GO:0015078(proton transmembrane transporter activity)
Ss09g11250.1	GO:0006457(protein folding)	-	GO:0005524(ATP binding),GO:0051082(unfolded protein binding)
Ss02g32470.1	-	-	GO:0005515(protein binding)
Ss08g10340.1	GO:0006629(lipid metabolic process)	GO:0016021(integral component of membrane)	GO:0016491(oxidoreductase activity)
Ss06g20770.1	GO:0006807(nitrogen compound metabolic process)	-	GO:0016151(nickel cation binding)
Ss06g20780.1	GO:0071805(potassium ion transmembrane transport)	GO:0016020(membrane)	GO:0015079(potassium ion transmembrane transporter activity)
Ss02g32400.1	GO:0007186(G-protein coupled receptor signaling pathway)	-	-
Ss02g32390.1	GO:0033014(tetrapyrrole biosynthetic process)	-	GO:0004655(porphobilinogen synthase activity),GO:0046872(metal ion binding),GO:0003824(catalytic activity)
Ss02g32420.1	-	-	GO:0008168(methyltransferase activity)
Ss06g20750.1	GO:0046034(ATP metabolic process),GO:1902600(proton transmembrane transport)	-	-
Ss02g32440.1	-	GO:0005634(nucleus)	GO:0003676(nucleic acid binding),GO:0005515(protein binding)
Ss02g32430.1	GO:0006355(regulation of transcription, DNA-templated),GO:0016573(histone acetylation)	GO:0005634(nucleus)	GO:0008270(zinc ion binding),GO:0003712(transcription coregulator activity),GO:0004402(histone acetyltransferase activity)
Ss02g32450.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss05g20320.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss10g05640.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss07g23120.1	GO:0045454(cell redox homeostasis)	-	-
Ss09g07770.1	-	-	GO:0003677(DNA binding)
Ss05g21230.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss05g21220.1	GO:0120009(intermembrane lipid transfer)	GO:0005737(cytoplasm)	GO:0120013(intermembrane lipid transfer activity)
Ss05g23590.1	-	-	GO:0005525(GTP binding)
Ss05g23580.1	-	-	GO:0005525(GTP binding),GO:0003924(GTPase activity)
Ss05g21190.1	-	-	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
Ss10g05570.1	GO:0006508(proteolysis)	-	GO:0004177(aminopeptidase activity),GO:0008235(metalloexopeptidase activity)
Ss05g23550.1	GO:0006289(nucleotide-excision repair),GO:0006355(regulation of transcription, DNA-templated)	GO:0000439(transcription factor TFIIH core complex)	-
Ss05g21160.1	-	-	GO:0005515(protein binding)
Ss05g23570.1	-	-	GO:0020037(heme binding)
Ss05g23560.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss01g09820.1	-	-	GO:0046872(metal ion binding)
Ss02g05050.1	GO:0006811(ion transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005216(ion channel activity)
Ss01g00010.1	GO:0006839(mitochondrial transport)	GO:0031966(mitochondrial membrane)	-
Ss01g06150.1	-	-	GO:0005515(protein binding)
Ss07g06370.1	-	-	GO:0016817(hydrolase activity, acting on acid anhydrides),GO:0005525(GTP binding)
Ss02g05010.1	GO:0045454(cell redox homeostasis)	-	-
Ss02g04980.1	GO:0006812(cation transport),GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane)	GO:0008324(cation transmembrane transporter activity)
Ss02g04990.1	GO:0006284(base-excision repair)	-	GO:0003677(DNA binding),GO:0003905(alkylbase DNA N-glycosylase activity),GO:0003824(catalytic activity)
Ss09g03320.1	GO:0009236(cobalamin biosynthetic process)	-	GO:0016852(sirohydrochlorin cobaltochelatase activity)
Ss01g00090.1	GO:0034755(iron ion transmembrane transport)	GO:0016021(integral component of membrane)	GO:0005381(iron ion transmembrane transporter activity)
Ss01g00080.1	-	-	GO:0005515(protein binding)
Ss01g06180.1	-	-	GO:0005515(protein binding)
Ss01g06170.1	GO:0030245(cellulose catabolic process),GO:0005975(carbohydrate metabolic process)	-	GO:0008422(beta-glucosidase activity),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss02g05070.1	-	-	GO:0003824(catalytic activity)
Ss07g13400.1	-	-	GO:0005515(protein binding)
Ss03g37520.1	GO:0008033(tRNA processing)	-	GO:0008168(methyltransferase activity)
Ss02g15920.1	GO:0016973(poly(A)+ mRNA export from nucleus)	GO:0005643(nuclear pore)	-
Ss07g10640.1	-	-	GO:0003677(DNA binding)
Ss03g19480.1	GO:0005975(carbohydrate metabolic process)	-	GO:0016773(phosphotransferase activity, alcohol group as acceptor)
Ss10g09950.1	GO:0009773(photosynthetic electron transport in photosystem I),GO:0015979(photosynthesis)	GO:0009522(photosystem I),GO:0042651(thylakoid membrane)	GO:0009055(electron transfer activity),GO:0051539(4 iron, 4 sulfur cluster binding)
